Name,Symbol,Current Price (USD),Market Cap,24h Volume,24h Change (%)
Bitcoin,BTC,88331,1744959023497,70839958282,279.74%
Ethereum,ETH,2174.12,261491963914,37228427437,122.93%
XRP,XRP,2.5,144613199150,11006715453,420.78%
Tether,USDT,0.999771,142476032344,55504768643,5.98%
BNB,BNB,584.78,84851480244,1426780654,162.84%
Solana,SOL,143.22,72411284008,9544054609,15.99%
USDC,USDC,0.999979,56373286988,11148286200,1.66%
Cardano,ADA,0.934346,33371188867,5067304138,992.58%
Dogecoin,DOGE,0.200904,29651205481,2681803354,15.74%
TRON,TRX,0.242428,20791193839,1391514497,566.92%
Lido Staked Ether,STETH,2173.26,20345277527,168572389,210.57%
Pi Network,PI,1.77,12272139838,804375620,509.58%
Wrapped Bitcoin,WBTC,88254,11328929764,799563442,278.98%
Hedera,HBAR,0.244276,10183211530,894239053,698.61%
Chainlink,LINK,14.53,9218961568,1021378990,-307.73%
LEO Token,LEO,9.98,9182852049,8873481,113.11%
Stellar,XLM,0.300085,9172652512,377208273,80.85%
Wrapped stETH,WSTETH,2593,9161134077,100173469,59.04%
Avalanche,AVAX,20.34,8386370584,860574067,-487.00%
Sui,SUI,2.55,8063550332,1598508571,-479.66%
USDS,USDS,1.001,7933977318,85459871,-2.85%
Litecoin,LTC,104.18,7860180672,1716666893,-464.00%
Toncoin,TON,3.16,7793682497,320886338,109.30%
Shiba Inu,SHIB,0.00001313,7707696844,483990551,42.14%
MANTRA,OM,7.17,6960188107,231938403,-3.84%
Polkadot,DOT,4.38,6642458737,395761873,-311.60%
Bitcoin Cash,BCH,316.15,6246091552,381926753,-331.35%
WETH,WETH,2178.04,6235107860,2067770232,93.23%
Hyperliquid,HYPE,17.42,5791505736,368027917,-178.91%
Ethena USDe,USDE,0.999055,5442298074,107173291,-0.06%
Bitget Token,BGB,4.23,5070222586,340387236,1.73%
Wrapped eETH,WEETH,2308.16,4414487723,29049763,101.92%
WhiteBIT Coin,WBT,29.63,4255842729,103273049,-64.52%
Uniswap,UNI,7.08,4237892417,410176718,-306.90%
Monero,XMR,220.9,4068145752,69968210,-13.81%
NEAR Protocol,NEAR,2.85,3375249635,415077283,-392.92%
Dai,DAI,0.999911,3275541343,218239305,5.31%
Aptos,APT,5.53,3245810329,409449173,-501.16%
Aave,AAVE,210.51,3163663867,790378503,1441.54%
Ondo,ONDO,0.977317,3075375008,390681037,-260.38%
sUSDS,SUSDS,1.043,2998690582,2018294,32.30%
Pepe,PEPE,0.00000696,2929735251,1208110007,-629.86%
Internet Computer,ICP,6.09,2918302746,127648517,-298.46%
Ethereum Classic,ETC,19.15,2882261344,172145676,113.89%
Gate,GT,21.16,2654909093,25585468,27.92%
OKB,OKB,43.23,2583814001,28808803,-289.80%
Official Trump,TRUMP,12.94,2578582243,1856256014,31.44%
Coinbase Wrapped BTC,CBBTC,88269,2542872000,525826742,228.78%
Mantle,MNT,0.728706,2458702326,104525164,-37.44%
Bittensor,TAO,290.63,2454567404,241142703,-263.64%